Owner,Project,File Path,hpa_count,apiVersion,Is Helm Template,Metric Name,Metric Type,Target Value,Has Behavior,stargazers_count,created_at,pushed_at,file_committed_at,message
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/gloo-gateway/gateway-api/1.18/with-ilm-ambient/base/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2025-01-17T01:19:53Z,"see CHANGELOG (0.8.0)

0.8.0 (1-16-25)
---
- deprecate gateway-api/1.17 in favor of gateway-api/1.18
- split gateway-api/1.18/with-ilm-ambient into /cluster1 and /cluster2 overlays to start testing multicluster peering
- fix auth policies in gateway-api/1.18/with-ilm-ambient/base/tiered-app to use wildcard as the trust domain instead of cluster.local. This is done because the trust domain for multicluster is configured to match the cluster name (e.g. cluster1 or cluster2)
- note that in `gateway-api/1.18/with-ilm-ambient` environments the cacerts secret for shared root trust will need to be provided by the user. The init.sh script (found at gateway-api/1.18/with-ilm-ambient/cluster1/istio/init.sh) expects this secret to be under `/aoa-tools/shared-root-trust-secret.yaml`. Will find a longer term solution for this later"
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/istio/ambient-demo/uniform-apps/apps/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2024-05-16T03:18:11Z,"see CHANGELOG (0.3.1) (#128)

0.3.1 (5-15-24)
---
- add gloo-edge/gateway-api environment
- update istio/basic-demo to use upstream 1.22.0
- enable l4-policy and l7-policy for istio/ambient-demo/uniform-apps environment"
solo-io,aoa-catalog,search_results/solo-io/aoa-catalog/environments/gloo-gateway/gateway-api/1.18/with-istio-helm-ambient/tiered-app/5-namespace-app/ambient/waypoints/hpa-per-namespace.yaml,5,autoscaling/v2,False,cpu,Resource,80,False,16,2023-02-07T17:47:41Z,2025-04-02T22:41:09Z,2024-12-26T19:04:52Z,"see CHANGELOG (0.7.4)

0.7.4 (12-26-24)
---
- change system/user prompts to focus on LLMs in ai-gateway/field-demo/demos
- migrated gateway-api/1.17/with-istio-ambient environment to gateway-api/1.18/with-istio-helm-ambient
- migrated gateway-api/1.17/standalone environment to 1.18
- migrated gateway-api/1.17/argo-rollouts environment to 1.18
- migrated gateway-api/1.17/with-istio-sidecar environment to gateway-api/1.18/with-istio-helm-sidecar
- migrated gateway-api/1.17/with-gm-istio environment to gateway-api/1.18/with-gm-istio-helm-sidecar
- testing ILMv3 in gateway-api/1.18/with-ilm-ambient environment
    - seeing some issues with L7 waypoint auth policies
- add `aoa-tools/find-hostnames.sh` to simplify discovery of hostnames used in a particular environment. To use this script run `aoa-tools/find-hostnames.sh <environment-path`. Note this only works with environments that use GWAPI and `HTTPRoutes`"
grafana,pyroscope,search_results/grafana/pyroscope/operations/pyroscope/helm/pyroscope/rendered/micro-services-hpa.yaml,4,autoscaling/v2,False,cpu,Resource,40,False,10444,2020-12-31T05:47:19Z,2025-04-05T06:05:49Z,2025-03-27T12:13:11Z,chore: Add release 1.13.1 to helm (#4062)
kublr,workshop-microservice-build-pipeline,search_results/kublr/workshop-microservice-build-pipeline/tools/istio.yaml,4,autoscaling/v2beta1,False,cpu,Resource,,False,2,2018-05-17T14:08:15Z,2018-11-12T18:45:56Z,2018-11-09T13:45:02Z,DevOps pro: Istio 1.0.3 support
santosh-burada,FaceRecog-API,search_results/santosh-burada/FaceRecog-API/Deploy.yaml,3,autoscaling/v2,False,cpu,Resource,50,False,8,2023-03-31T06:36:57Z,2024-04-29T14:45:22Z,2024-04-14T21:46:28Z,Project Phase 1 Done
Octops,agones-discover-openmatch,search_results/Octops/agones-discover-openmatch/deploy/openmatch/01-open-match-core.yml,3,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,90,2020-10-13T16:15:33Z,2023-08-29T10:40:41Z,2020-10-20T18:27:54Z,Add prometheus scrape annotations to query service
ZackButcher,hybrid-demo,search_results/ZackButcher/hybrid-demo/istio.yaml,3,autoscaling/v2beta1,False,cpu,Resource,,False,10,2018-05-03T20:55:02Z,2018-05-08T18:29:44Z,2018-05-08T02:34:11Z,"make networking work across clusters reproducibly, add readme describing how to deploy"
gianlucam76,k8s-cleaner,search_results/gianlucam76/k8s-cleaner/internal/controller/executor/validate_aggregatedselection/unused_horizontal-pod-autoscalers/resources.yaml,3,autoscaling/v2,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,452,2023-12-06T12:22:28Z,2025-04-05T14:15:06Z,2023-12-15T16:15:43Z,"Add Cleaner instance to find unused HorizontalPodAutoscalers

An HorizontalPodAutoscalers is unused if referenced Deployment or
StatefulSet instance does not exist."
SharadaShehan,Airline_Reservation_System,search_results/SharadaShehan/Airline_Reservation_System/deploy.yml,3,autoscaling/v2,False,,,,True,3,2023-08-24T13:54:51Z,2024-04-09T18:28:38Z,2024-04-09T03:09:22Z,deployment scripts
soulsah,tech_challenge,search_results/soulsah/tech_challenge/k8s/hpa.yaml,3,autoscaling/v2,False,cpu,Resource,70,False,2,2023-10-29T19:09:48Z,2024-05-13T02:20:41Z,2024-03-10T23:56:18Z,feat: Incluindo webhook no k8s
quay,quay-operator,search_results/quay/quay-operator/e2e/hpa/02-bump-hpas.yaml,3,autoscaling/v1,False,,,,False,125,2019-02-26T16:28:21Z,2025-02-26T14:14:50Z,2022-05-04T17:05:22Z,"chore: fixed e2e tests

1. Renamed component Base to Quay
2. Split HPA into multiple steps"
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/clusters/bison/istio/installation/generated-manifests/1.8.5/before-retiring/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-08T16:30:52Z,"Add canary upgrade support (#12)

* Handle namespace labeling with istioRevision

* Move to use separate file for init

* Change the target revision for testing only

* Use separate target revision for testing

* Add kustomization patch file which would come in handy for later

* Run importer generate

* Remove usage of demo 2 specific files

* Create new directory for generated manifests

* Add patch as a separate reference

* Move full-installation to without-revision

* Run update for armadillo 1.7.8 with canary setup

* Add canary setup for bison and dolphin

* Add without-revision for bison and dolphin

* Add new script for generated manifests

* Add patch reference

* Correct IstioOperator CRs

* Add Argo sync wave for dolphin control plane

* Add generated manifests for 1.8.5 and 1.9.4

* Add canary setup based on with-generated-manifests

* Add new Argo CD App

* Correct link

* Fix typo

* Try canary for control plane

* Correct path

* Add missed file

* Correct app name

* Correct typo

* Migrate to v1.8.5 in main resources

* Add cluster name, and remove istiocoredns

* Remove pod anti affinity on istiod

* Remove affinity from v1.8.5 istiod

* Remove affinity from v1.9.4 istiod

* Remove affinity from v1.7.8 istiod

* Remove affinity from no-operator-install

* Ensure generated-manifests have the same spec as no-operator-install

* Add armadillo connection to bison

* Let Bison go to 1.8.5 fully

* Revert Istio installation for now

* Rename no-operator to generated-manifests in some places

* Update links to stick to the same branch

* Retry canary full roll out

* Add istiod service for Bison

* Try pilotCertProvider of kubernetes for Bison

* Revert pilot cert provider

* Fall back to partial canary

* Retry canary graduation

* Ensure multicluster gateway has mesh and network information

* Add mesh and cluster metadata

* Remove affinity setup from gateways

* Move to 1.8.5 for Armadillo as well

* Ensure Armadillo has mesh information for gateways

* Run istioctl manifest generate with IOP values update

* Revert to 1.7.8

* Copy current IOP to archive for 1.7.8 specific use cases

* Adjust spec for 1.7.8

* Copy for 1.7.8

* Adjust spec for 1.7.8

* Fix up 1.7.8 with no affinity

* Create a new 1.7.8 specific script

* Go for Bison release

* Update multiclutser envoyfilter definition to test

* Add clarification comment

* Adjust EnvoyFilter for Armadillo as well

* Roll out Armadillo's Gateway as well

* Revert the change

* Comment out kind config which seems unnecessary

* Correct target branch

* Revert to use single version only"
zjzjzjzj1874,best-practice-go-zero,search_results/zjzjzjzj1874/best-practice-go-zero/task/task-k8s.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,10,2022-06-06T09:46:12Z,2025-02-08T06:13:19Z,2023-02-23T07:40:16Z,"feat✨(swagger): add missing files

Signed-off-by: zjzzzjjj <zjzjzjzj1874@gmail.com>"
knative,operator,search_results/knative/operator/cmd/operator/kodata/knative-eventing/1.14.3/5-mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,202,2020-03-24T17:33:49Z,2025-04-02T01:41:03Z,2024-06-19T10:47:23Z,"upgrade to latest dependencies (#1822)

bumping knative.dev/eventing ea8f0fd...e298f32:
  > e298f32 Add authz library (# 8002)
  > 1a21fee Add all JobSink symlinks in config/ (# 8007)
  > 2157639 Add validation for EventPolicy sub suffix matching (# 8008)
  > 0eee301 Propagate read error correctly in event-dispatcher (# 8005)
  > 43cf75a [main] Upgrade to latest dependencies (# 8004)
bumping knative.dev/pkg 15e6cdf...339c22b:
  > 339c22b Add AuthenticatableType duck type (# 3056)
bumping knative.dev/serving 2e5d17e...e56319d:
  > e56319d Allow ipv6 address for sslip.io in default-domain Job (# 15328)
  > f464e2d upgrade to latest dependencies (# 15329)
  > 0b61640 Update net-kourier nightly (# 15314)
  > 8d768f5 Cert rotation test does not use specific ingress namespace (# 15331)
  > 1f7cc48 Log errors in cert rotation test when deleting secret (# 15325)
bumping knative.dev/networking 85e269d...3b8764c:
  > 3b8764c upgrade to latest dependencies (# 989)

Signed-off-by: Knative Automation <automation@knative.team>"
knative,operator,search_results/knative/operator/cmd/operator/kodata/knative-eventing/1.15.2/5-mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,202,2020-03-24T17:33:49Z,2025-04-02T01:41:03Z,2024-10-14T15:49:31Z,"upgrade to latest dependencies (#1904)

bumping knative.dev/serving 1a1eb10...782b6a8:
  > 782b6a8 Update net-istio nightly (# 15565)
  > 1a06888 Update net-contour nightly (# 15567)
  > d2229fa Update net-kourier nightly (# 15560)
  > 5c8556d Update net-gateway-api nightly (# 15566)
  > 2a87ffd Update community files (# 15564)
  > 656f3d3 Update net-gateway-api nightly (# 15559)
  > a9e28f0 Update net-contour nightly (# 15558)
  > 60516ad Update net-istio nightly (# 15557)
  > 4eb2e08 upgrade to latest dependencies (# 15556)
  > c8e131b Fix GO-2024-2659 (# 15547)
bumping golang.org/x/crypto c9da6b9...adef4cc:
  > adef4cc go.mod: update golang.org/x dependencies
  > a0819fb sha3: fix cSHAKE initialization for extremely large N and or S
  > 42ee18b ssh: return ServerAuthError after too many auth failures
  > 9e92970 bn256: add missing symbols in comment
bumping golang.org/x/sys a43b625...23b0dab:
  > 23b0dab unix: mark vgetrandom as non-escaping
  > cbf0eb6 unix: fix grep syntax to work on non-GNU greps
  > e7397b9 unix: update to Linux 6.11
  > 981de40 unix: use vDSO for getrandom() on linux
  > 48aad76 linux: add tcp_cc_info and its related types
  > d58f986 all: fix some typos in comment
  > 30de352 unix: fix Test{Fd,}Xattr failure on NetBSD
  > 68ed59b windows/svc: fix printf(var) mistake detected by latest printf checker
  > c08bc6e unix: update Go to 1.23.0
bumping golang.org/x/tools 7398f36...2ab3b51:
  > 2ab3b51 go.mod: update golang.org/x dependencies
  > 2683c79 gopls/internal/golang/stubmethods: rename analysis/stubmethods
  > efd951d gopls/internal/analysis/stubmethods: merge into CodeAction
  > d0d0d9e gopls/internal/cache: memoize dependent hash on analysisNode
  > a19eef6 gopls/internal/cache: express packageHandle as a state machine
  > dd745ec gopls/internal/test/marker: update regression test issue68918.txt
  > a02ee35 go/analysis/passes/stdversion: reenable tests
  > a24facf all: set gotypesalias=0 explicitly
  > ce2a33e gopls/internal: fix extract refactor for cases with anonymous functions
  > a2ff832 go/ssa: remove references to GOEXPERIMENT range
  > a7552bc go/ast/inspector: add PreorderSeq and All iterators
  > d2e4621 gopls/internal/server: CodeAction: interpret Only=[] as [QuickFix]
  > 4e80b32 cmd/stringer: support types declared in test files
  > 60b6bcd gopls/rename: include filename in error message
  > 2848ab8 internal/gcimporter: clean up test expectations
  > ee66134 go/ssa/ssautil: isolate deprecated CreateProgram
  > 6ded0c4 internal/gcexporter: cleanup test skipping in TestImportTypeparamTests
  > 66afc1a gopls/completion: tweak fuzz handling to make its own MethodSet
  > 7d92dd6 go/ssa/ssautil: use go/packages to load packages in switch_test.go
  > 18bc032 gopls: update x/telemetry to pick up fix for golang/go# 69681
  > 6c47868 internal/gcimporter: run larger tests with and without aliases
  > c6f2f8e refactor/eg: rewrite test without go/loader
  > 8b6849d go/ssa/interp: reenable lifetime tests.
  > edfeacf internal/golang: fix panic in signatureHelp over builtin name
  > ab64376 go/types/objectpath: skip package tests with wasip1
  > e55961d internal/gcimporter: use types.NewInterfaceType
  > c59bc30 internal/gcimporter: vary the value of any in predeclared
  > 4fc0d79 internal/gcimporter: remove goexperiment.unified tags
  > f05b5f4 go/packages: document the role of PWD
  > 3483a5e go/packages: use link notation in comments for godoc rendering
  > 75350b9 go/ssa: remove import of loader from builder_test.go
  > 1c9ca8b go/types/objectpath,internal/aliases: miscellaneous clean up of tests that set gotypesalias
  > 23e1af6 go/ssa: migrate TestGenericFunctionSelector away from loader
  > 8adb6e8 go/ssa: migrate TestTypeparamTest away from loader
  > 7bb384d gopls/internal/test/integration/bench: add an IWL test that opens files
  > faf6e28 go/ssa: migrate TestGenericAliases away from loader
  > 81a4242 internal/gcimporter: update TestIssueAliases expectation
  > 54110aa internal/modindex: package for indexing GOMODCACHE
  > b577f77 gopls/internal/cache: remove unnecessary active package check
  > 06b986b gopls/internal/cache: add a few checks for context cancellation
  > 83326b7 gopls/internal/cache: join concurrent package batch operations
  > 34638fc cmd/{callgraph,ssadump}, gopackages: make -tags flags work
  > d911e4a gopls: disable ast.Object resolution wherever possible
  > eb774f6 go/packages: fix LoadMode.String
  > 31fdc78 gopls/internal/server: allow suppression of showDocument
  > 752860b gopls/internal/protocol/command: simplify ApplyFix
  > fadcea5 gopls/internal/golang: CodeAction: split into producers
  > f70550d go/ssa: migrate some tests in build_test.go away from loader
  > 01bd772 go/callgraph: rewrite tests to use go/packages not go/loader
  > f8ce005 go/types/objectpath: use go/packages instead of go/loader in tests
  > d2c1642 internal/gcimporter: rewrite TestIExportData_stdlib using go/packages
  > af67b9d go/ssa: migrate source_test.go away from loader
  > 3bb0ed7 x/tools: assume go1.22 and simplify
  > 1d5e334 internal/aliases: remove Alias and Unalias
  > 0b6abe3 go/ssa: remove loader utility functions
  > 6a0cacb go/ssa: add test utility for building a single file
  > 1204c80 cmd/gorename: delete
  > 1c37166 go/ssa: move build tag guarded tests
  > dfc41b5 go/ssa: use ast.RangeStmt.Range position directly
  > 3921b59 cmd/gorename: remove replace directive
  > d09d36b x/tools: remove refs to cmd/gorename
  > 8517dc9 cmd/gorename: create submodule
  > cd349f3 go/ssa: Move instantiation tests off of unexported API
  > 45851d3 gopls/internal/telemetry/cmd/stacks: show build failure stderr
  > c8d229c all: fix spelling errors
  > 8db9562 go/ssa: update public doc of CreatePackage
  > bea7373 gopls/internal/protocol/command: remove nuisance error handling
  > 18a3f05 go/ssa: remove outdated any normalizer setting up in test
  > 0355013 go/ssa: sanity check for package transient fields
  > 2aabc4f go/analysis/passes/printf: return when suppressing a non-constant diagnostic
  > 5cb6eeb txtar: use slices.Clone instead of copy
  > e603756 gopls/internal/cache: add telemetry counter for GOPACKAGESDRIVER
  > 42b921c gopls/internal/test/integration: skip BenchmarkPackages with -short
  > a58d83b gopls/internal/cache: build the import map lazily during type checking
  > 765ea95 go/analysis/passes/printf: add global to disable new diagnostics
  > a319a85 gopls/internal/telemetry/cmd/stacks: display closed issues white
  > 5aac53c gopls/internal/golang: Definition: jump to assembly
  > 8fcd92f gopls/internal/telemetry/cmd/stacks: predicate de-duplication
  > 7891473 gopls/internal/telemetry/cmd/stacks: fix two bugs
  > 91d4bdb gopls: rm GofumptFormat from internal/settings
  > 198986d go/ssa: go/ssa: disable TestTypeparamTest on wasm
  > 3e49191 gopls/internal/telemetry/cmd/stacks: generate CodeSearch links
  > beed481 gopls/internal/settings: use CodeActionKind hierarchy
  > 15b8886 SignatureHelp: report signature of Ident if no enclosing CallExpr
  > 4e8d5c8 gopls: bump gofumpt to 0.7.0
  > 6a387a4 go/ssa: require 1.23 for TestCycles
  > 42a6477 go/ssa: disable TestTypeparamTest/chan.go on wasm
  > 5157118 gopls/internal/lsp/source: put testing.T/B first when extracting
  > 94ac686 go/ssa: pop targets stack on range-over-func
  > 2884375 gopls/internal/golang: Definitions: support renaming imports in doc links
  > b0f680c go/ssa: reenable TestStdlib
  > b7af269 go/ssa: improve sanity checking
  > fd7ab2d gopls/internal/server: fix build following semantic merge conflict
  > dc4c525 gopls/internal: test discovery
  > 8ba9169 gopls/internal/golang: Highlight: work around go/types bug
  > bfc94c9 go/ssa: extract type recursion into a helper package
  > 1dc949f internal/settings: simplify linking now that we only build with 1.23
  > c055e89 x/tools: deprecate astutil.Unparen
  > c2e057b gopls: use Func.Signature everywhere
  > 6b0cfff internal/test/marker: support multi-line locations
  > 9d7d14e x/tools/gopls: delete code obsoleted by go1.23
  > 4bcf6a3 internal/golang: add a fast path for FormatVarType with gopls at 1.23
bumping google.golang.org/protobuf c33baa8...158d2b3:
  > 158d2b3 all: release v1.35.1
  > 94e26c9 all: start v1.35.0-devel
  > ac98177 all: release v1.35.0
  > 03df6c1 proto: Implement proto.Equal fast-path
  > 013dd17 all: drop unnecessary import renames for consistency
  > 1531843 internal/testprotos: declare the extension
  > 9e047b8 internal/impl: skip unnecessary requiredField checks for oneofs
  > ed7b51f proto: extend documentation of GetExtension, SetExtension
  > af06170 all: set Go language version to Go 1.21
  > cf4f382 encoding/prototext: capture current reserved field behavior
  > 5c1f700 internal/encoding/json: remove duplicate test
  > 66faac0 compiler/protogen: remove now-unnecessary UnsafeEnabled checks
  > 21d187a compiler/protogen: support -experimental_strip_nonfunctional_codegen
  > e8b6855 internal/descopts,internal/impl: remove shorthand import aliases
  > 0946f97 all: remove unused purego support
  > b643888 encoding/protojson: use fd.HasPresence() for editions compatibility
  > 94ecbc2 internal/impl: remove unused ExtensionField.SetLazy method
  > b36f8e0 types/known/structpb: add support for more types and json.Number
  > 75479a3 internal: generate extension numbers, fix editions parsing
  > 2a82025 internal/cmd/generate-protos: fix pkg check for editions features
  > 219bda2 internal/conformance: update failing tests list, add comments
  > b46f280 all: plumb the lazy option into filedesc.Field and .Extension
  > df3bd63 compiler/protogen: always report editions support level of the plugin
  > eea33cd protobuf: fix handling of delimited extensions in editions
  > d462176 protojson: changes error message returned by unmarshal
  > 61c6075 all: start v1.34.2-devel
bumping golang.org/x/text 1e3e9fd...3043346:
  > 3043346 x/text: Correct examples in number/doc
  > 38a95c2 all: fix some comments
  > 20097e4 all: fix printf(var) mistakes detected by latest printf checker
bumping knative.dev/pkg 5031733...59c22a1:
  > 59c22a1 Bump google.golang.org/protobuf from 1.34.2 to 1.35.1 (# 3102)
  > e0f65ce Update community files (# 3101)
  > 952269c Bump golang.org/x/net from 0.29.0 to 0.30.0 (# 3100)
  > e52e2e4 Bump google.golang.org/grpc from 1.67.0 to 1.67.1 (# 3099)
  > 4e357ed Bump golang.org/x/tools from 0.25.0 to 0.26.0 (# 3098)
bumping knative.dev/reconciler-test 87d8570...1678877:
  > 1678877 Update community files (# 767)
  > 060f096 Update community files (# 766)
  > 5e05cb3 Fix WithLabels and WithPodLabels to append to eventually existing labels (# 765)
bumping golang.org/x/term 2f7b0dd...9d5441a:
  > 9d5441a go.mod: update golang.org/x dependencies
bumping knative.dev/caching abecea6...f9d59e9:
  > f9d59e9 Update community files (# 895)
  > c7654c4 upgrade to latest dependencies (# 894)
bumping knative.dev/eventing e6490c3...aa6f73b:
  > aa6f73b [main] Upgrade to latest dependencies (# 8236)
  > db729bc [main] Update community files (# 8237)
  > 67af70b workaround DeepDerivative CreationTimestamp comparison (# 8233)
bumping knative.dev/hack fc6a845...05b2fb3:
  > 05b2fb3 Update community files (# 399)
bumping golang.org/x/net 35b4aba...6cc5ac4:
  > 6cc5ac4 go.mod: update golang.org/x dependencies
  > f88258d websocket: update nhooyr.io/websocket to github.com/coder/websocket
  > 7191757 http2: add support for net/http HTTP2 config field
  > 4790dc7 http2: add support for server-originated pings
  > 541dbe5 http2: add Server.WriteByteTimeout
  > 3c333c0 route: fix address parsing of messages on Darwin
bumping google.golang.org/grpc 6f50403...3f95b38:
  > 3f95b38 Update version to 1.67.1 (# 7682)
  > 4f6c5f2 xds/server: Fix xDS Server leak (# 7664) (# 7681)
  > 935f8cb transport: Fix reporting of bytes read while reading headers (# 7660) (# 7667)
  > 02bbb65 Change version to 1.67.1-dev (# 7605)

Signed-off-by: Knative Automation <automation@knative.team>"
day112,go-zero-bookstore,search_results/day112/go-zero-bookstore/apirpc.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,120,2021-02-22T06:36:08Z,2021-09-22T05:08:13Z,2021-02-22T06:39:28Z,go-zero bookstore 从0 到 k8s 部署教程
CAVEconnectome,CAVEdeployment,search_results/CAVEconnectome/CAVEdeployment/kubetemplates/skeletoncache.yml,2,autoscaling/v2,False,pubsub.googleapis.com|subscription|num_undelivered_messages,External,1,False,2,2022-01-10T20:17:20Z,2025-04-01T22:00:34Z,2025-03-28T18:11:11Z,fixing scaling of workers
oererenn,kwetter-microservices,search_results/oererenn/kwetter-microservices/kustomize/base/hpa.yaml,2,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,25,False,2,2022-09-28T11:56:11Z,2022-09-28T19:56:32Z,2022-09-28T12:00:14Z,Added  project source code from another repository.
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/archive/clusters/armadillo/istio/installation/no-operator-install/1.8.5/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-11T17:32:52Z,"Doc cleanup (#14)

* Move old doc into archive

* Remove WIP notice

* Add more icons

* Take out cluster information into separate file

* Remove doc from archive, as it won't be able to run importer correctly

* Move all no-operator-install files into archive

* Add more description of Argo CD based setup

* Change image size

* Add more clarification comment

* Correct typo

* Add more links"
lsm1103,project-admin,search_results/lsm1103/project-admin/libs/goctl/tproxy.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,3,2022-11-01T02:18:11Z,2023-02-18T09:58:32Z,2022-11-13T15:20:35Z,xiufu
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/archive/clusters/armadillo/istio/installation/no-operator-install/1.8.5/istio-multicluster-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-11T17:32:52Z,"Doc cleanup (#14)

* Move old doc into archive

* Remove WIP notice

* Add more icons

* Take out cluster information into separate file

* Remove doc from archive, as it won't be able to run importer correctly

* Move all no-operator-install files into archive

* Add more description of Argo CD based setup

* Change image size

* Add more clarification comment

* Correct typo

* Add more links"
K-PaaS,cp-deployment,search_results/K-PaaS/cp-deployment/applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,3,2023-08-30T01:24:51Z,2025-01-09T04:55:23Z,2023-12-01T02:25:00Z,Add Container Platform
PaaS-TA,paas-ta-container-platform-deployment,search_results/PaaS-TA/paas-ta-container-platform-deployment/standalone/applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,2,2020-12-07T02:34:31Z,2023-08-02T05:36:29Z,2023-04-06T05:47:05Z,Add Container Platform v1.4.1 Release
